23,10,17,31,1
14,17,12,23,1
11,14,25,58,1
17,27,27,79,1
17,15,11,26,1
14,15,23,22,1
18,16,6,14,1
18,8,10,28,1
16,18,5,13,1
17,26,23,70,1
19,10,10,30,1
11,7,17,34,1
27,6,6,14,1
15,15,15,38,1
10,10,3,13,1
12,14,5,14,1
18,11,9,17,1
13,24,13,28,1
17,11,4,12,1
16,16,5,15,1
12,35,9,29,1
16,6,6,8,1
17,11,4,12,1
12,35,9,29,1
4,27,4,17,1
26,26,13,47,1
8,21,3,16,1
11,10,3,7,1
13,13,9,13,1
17,17,8,15,1
15,17,6,12,1
4,18,22,24,1
21,26,13,29,1
16,21,7,8,1
10,11,6,7,1
11,12,9,11,1
14,27,10,21,1
6,12,4,10,1
39,0,4,18,1
11,13,16,24,1
20,17,3,21,1
0,8,16,32,1
19,11,6,16,1
13,24,15,31,1
13,15,10,19,1
19,15,3,8,1
13,15,10,26,1
8,3,6,13,1
19,15,3,6,1
9,35,9,55,1
17,12,15,34,2
14,16,2,8,2
20,9,0,9,2
14,8,11,21,2
17,13,2,7,2
26,6,6,22,2
17,11,3,10,2
13,5,5,14,2
9,17,4,9,2
5,5,16,24,2
14,6,0,2,2
9,16,5,15,2
0,6,22,72,2
12,14,4,9,2
10,6,6,9,2
18,18,3,18,2
18,30,2,12,2
15,11,4,10,2
24,24,7,20,2
17,14,9,22,2
15,11,4,10,2
6,12,4,10,2
8,10,6,29,2
16,16,6,22,2
1,3,4,3,2
8,3,2,7,2
10,0,3,9,2
10,15,18,22,2
13,17,3,7,2
14,18,9,20,2
20,11,3,8,2
13,16,2,10,2
17,9,11,16,2
9,3,3,13,2
6,7,2,5,2
26,16,9,25,2
11,19,5,21,2
9,12,4,5,2
16,12,2,7,2
10,16,3,8,2
6,10,2,6,2
15,19,3,9,2
11,15,10,12,2
14,5,3,6,2
16,12,2,7,2
10,16,3,8,2
18,15,3,19,2
11,22,3,17,2
13,13,6,8,2
9,18,5,11,2
8,9,5,7,3
8,19,3,9,3
26,13,5,18,3
14,20,2,6,3
19,13,3,16,3
15,7,5,11,3
10,7,0,10,3
7,15,8,9,3
12,13,9,12,3
10,15,4,8,3
12,19,2,9,3
12,6,3,10,3
9,14,9,31,3
12,21,3,18,3
11,11,2,7,3
17,3,1,4,3
11,7,7,14,3
7,15,2,9,3
9,10,1,5,3
19,4,0,11,3
9,17,4,17,3
11,2,2,8,3
7,13,4,8,3
36,22,4,17,3
2,19,5,18,3
3,5,0,3,3
11,3,0,6,3
7,9,0,5,3
17,21,0,19,3
11,11,3,5,3
16,18,2,14,3
12,12,0,4,3
16,8,3,11,3
14,8,1,5,3
11,4,0,5,3
14,5,2,9,3
13,3,2,5,3
15,15,0,5,3
4,0,0,1,3
9,17,0,4,3
23,12,0,19,3
10,10,2,6,3
7,7,2,6,3
17,7,2,9,3
11,13,0,9,3
7,5,0,5,3
12,8,0,6,3
12,7,0,4,3
14,10,0,7,3
13,12,1,5,3
0,0,0,7,4
0,0,0,6,4
0,5,0,7,4
8,0,0,7,4
8,6,0,2,4
6,0,0,1,4
6,4,0,2,4
0,5,0,4,4
0,3,0,4,4
3,3,0,2,4
6,1,0,3,4
0,0,0,4,4
1,0,0,0,4
9,3,0,6,4
3,3,0,10,4
3,0,0,5,4
0,3,0,5,4
4,0,13,11,4
15,2,0,3,4
5,2,0,4,4
8,8,0,10,4
5,5,0,15,4
7,2,0,4,4
8,0,0,4,4
13,5,0,7,4
0,0,0,58,4
3,0,0,4,4
0,0,3,24,4
6,13,3,19,4
3,0,1,3,4
6,5,1,5,4
2,2,0,1,4
0,0,0,4,4
0,0,0,3,4
7,3,0,2,4
2,2,0,4,4
3,1,0,1,4
9,9,0,4,4
0,0,0,0,4
0,0,0,1,4
0,0,0,1,4
0,0,0,3,4
0,0,0,3,4
2,6,0,1,4
4,0,0,1,4
0,0,0,0,4
0,0,0,2,4
0,0,0,4,4
0,0,0,3,4
10,5,0,11,4
